CustomerID,Age,Gender,IncomeTier,Region,Education,ContractLength,PaymentMethod,PlanType,TenureMonths,MonthlyCharges,TotalCharges,LoginsLastMonth,TicketsOpened,TicketsResolutionTime,RFMScore,UsageChangePct,CompetitorIndex,Churn,DeviceType,ChannelPreferred,CustomerSegment,AutoPay,Paperless,FamilyPlan,AddOnBundle,ReferralSource,SupportChannelPreferred,ComplaintCategory,DiscountType,ContractAutoRenew,DeviceOS,CityTier,PromoCodeUsed,PaymentDelinquencyStatus
35,78,M,Low,Central,Masters,Two year,Electronic Check,basic,65,196.36,12763.4,94,6,57.73562556,10,0.321619792,0.515342451,1,Tablet,App,Bronze,No,YES,No,Movies,Friend,Chat,Technical,Loyalty,Y,Windows,Tier-2,SUMMER,60+
36,61,0,low,North,Masters,M2M,paypal,STANDARD,108,166.48,17979.84,12,14,24.69390961,6,-0.526319162,0.128486469,0,Mobile,App,Bronze,Yes,no,No,Movies,Social,App,Service,Loyalty,Unknown,Linux,Tier-2,SUMMER,Current
37,42,M,low,North,PhD,3-Year,Crypto,Premium,25,154.19,3854.75,48,3,27.74671291,13,0.628215833,0.320037049,0,Tablet,In-Store,Silver,Yes,YES,Yes,Movies,Friend,Email,Service,Employee,N,Android,Tier-1,SUMMER,Current
38,66,TRUE,low,West,Diploma,M2M,Bank Transfer,Standard,49,93.18,4565.82,367.2747472,14,13.31636064,8,-0.827036267,0.054879915,0,SmartTV,Chat,Silver,FALSE,YES,Yes,Kids,Friend,Phone,Technical,Intro,Yes,ios,Tier-1,SUMMER,Current
39,44,0,low,Central,PhD,One year,Mailed Check,Standard,5,152.09,760.45,60,6,8.90236187,2,0.026949757,0.924596794,0,Mobile,In-Store,Platinum,TRUE,YES,Yes,International,TV,Phone,Technical,Intro,Yes,Windows,Tier-3,SUMMER,Current
40,76,FALSE,HIGH,Central,Diploma,3-Year,paypal,Premium,2,195.13,390.26,34,16,4.598786367,9,0.089263836,0.650472962,1,Desktop,App,Platinum,Yes,yes,No,WorkFromHome,Social,Email,Retention,Loyalty,N,iOS,Tier-3,SUMMER,30+
41,59,F,Medium,West,Masters,Month-to-month,Crypto,basic,48,154,7392,76,12,26.42046475,2,-0.24364071,0.787117701,0,Mobile,App,Silver,1,No,Yes,Movies,Social,Phone,Technical,Loyalty,N,Linux,Tier-2,SUMMER,Current
42,49,F,low,North,High School,M2M,cash,basic,14,92.44,1294.16,58,19,33.14334285,6,-0.600548085,0.737559303,1,Desktop,APP,Silver,No,Yes,No,Movies,Email,Email,Service,Loyalty,N,Windows,Tier-3,NEWYEAR,60+
43,77,F,HIGH,North,Masters,M2M,Crypto,STANDARD,44,108.33,4766.52,48,12,61.24139035,4,0.023970923,0.917479504,1,Mobile,App,Bronze,No,NO,No,Movies,Affiliate,Chat,Technical,Loyalty,0,Android,Tier-1,SUMMER,30+
44,33,1,low,West,High School,One year,Mailed Check,Basic,20,74.06,1481.2,67,2,37.70029135,5,0.537591373,0.151995901,1,Tablet,Phone,Silver,FALSE,No,Yes,Movies,Social,Phone,Technical,Promo,0,Android,Tier-2,SUMMER,Current
45,32,0,Medium,South,Diploma,Two year,Crypto,Ultra,49,59.63,2921.87,92,12,37.08100096,4,-0.068246602,0.793057465,0,Mobile,App,Gold,No,No,Yes,Movies,Social,Email,Technical,Promo,N,iOS,Tier-2,SUMMER,Current
46,79,M,low,East,Bachelors,M2M,paypal,STANDARD,22,158.24,3481.28,95,0,9.740717303,12,-0.848749659,0.021187815,1,Mobile,App,Bronze,0,Yes,Yes,Movies,Unknown,Phone,Technical,Loyalty,No,Android,Tier-1,SUMMER,30+
47,79,TRUE,Low,East,Diploma,Two year,paypal,Basic,47,29.08,1366.76,23,1,69.42112771,5,0.337917202,0.402812024,0,Mobile,Web,Gold,1,NO, ,Movies,Unknown,Chat,Technical,Bundle,N,iOS,Tier-3,SUMMER,Current
48,49,0,low,West,Masters,M2M,Mailed Check,Premium,28,56.32,1576.96,70,1,21.32785046,7,0.678764515,0.06667083,0,Mobile,App,Silver,Yes,Yes,No,Movies,Event,Phone,Service,Loyalty,0,Android,Tier-1,SUMMER,Current
49,79,TRUE,low,South,Bachelors,One year,Mailed Check,STANDARD,54,115.08,6214.32,41,9,46.85872875,10,-0.460939491,0.026700446,0,Desktop,phone,Bronze,Yes,No, ,Movies,Affiliate,Email,Technical,Loyalty,N,iOS,Tier-1,CYBER,Current
50,68,Male,low,West,Bachelors,M2M,cash,STANDARD,93,89.35,8309.55,43,16,38.46924095,12,-0.43712515,0.018994802,0,Desktop,Web,Bronze,FALSE,No,Yes,Movies,Event,Chat,Technical,Intro,N,Android,Tier-3,SUMMER,Current
51,61,F,High,Central,Masters,Two year,paypal,Standard,116,115.49,13396.84,72,17,9.917638401,10,0.694397525,0.931897359,1,Mobile,In-Store,Bronze,N,No,Yes,International,Email,Email,Billing,Loyalty,No,iOS,Tier-1,VIP,120+
52,72,Female,Medium,South,High School,3-Year,Bank Transfer,Ultra,47,119.72,5626.84,14,13,52.0059573,4,0.57589063,0.235200497,0,Mobile,Web,Bronze,FALSE,Yes,Yes,Gamer,Affiliate,Phone,Technical,Loyalty,0,Windows,Tier-1,SUMMER,Current
53,69,TRUE,low,Central,Masters,Month-to-month,Crypto,Standard,88,76.87,6764.56,22,14,35.75746108,14,-0.685863533,0.922559147,0,Mobile,App,Silver,Yes,No,No,Movies,Email,Phone,Technical,Student,No,iOS,Tier-3,CYBER,Current
54,74,Male,Medium,West,Diploma,M2M,Electronic Check,STANDARD,44,151.02,6644.88,62,8,57.36732478,8,-0.154677835,0.582236088,0,Mobile,App,Bronze,FALSE,yes,No,Music,Billboard,Email,Technical,Loyalty,Y,iOS,Tier-2,SUMMER,Current
55,20,TRUE,low,North,Bachelors,3-Year,Bank Transfer,Standard,76,119.62,4913.795,99,13,28.53190231,2,-0.02687639,0.419355111,1,Desktop,App,Silver,No,yes,No,Kids,Unknown,Email,Service,Loyalty,Y,Android,Tier-1,SPRING,Current
56,54,Male,low,Central,High School,One year,Bank Transfer,Standard,18,152.54,2745.72,34,18,55.3781442,4,0.886230065,0.381881405,0,Mobile,App,Bronze,No,No,No,Music,Search,Phone,Technical,Loyalty,N,Android,Tier-2,SUMMER,Current
57,68,TRUE,Very High,North,Masters,One year,Crypto,Standard,1,152.33,4913.795,50,18,9.863415522,4,0.863190434,0.604993616,0,Tablet,Web,Silver,No,Yes,Yes,Movies,Friend,Phone,Technical,Promo,Yes,Linux,Tier-2,SPRING,Current
58,24,F,High,North,Diploma,Two year,Credit Card,Standard,97,105.165,14321.08,63,8,56.50521747,7,-0.292084975,0.333092662,0,Desktop,Web,Bronze,No,no,Yes,Security,Social,Phone,Technical,Loyalty,Y,Android,Tier-4,SUMMER,Current
59,38,Female,HIGH,West,High School,M2M,Mailed Check,Standard,29,117.55,3408.95,47,14,67.13945765,5,-0.847554272,0.937272687,1,Mobile,App,Silver,Yes,No,Yes,Movies,Search,Community,Technical,Bundle,0,iOS,Tier-1,NEWYEAR,120+
60,26,FALSE,Very High,West,Diploma,Month-to-month,Crypto,Ultra,98,105.165,6308.26,93,2,35.39495403,6,-0.165418942,0.317191721,0,Mobile,Web,Silver,No,NO,Yes,Music,Billboard,Email,Technical,Bundle,Y,iOS,Tier-3,SUMMER,Current
61,56,F,Very High,East,High School,Two year,Credit Card,Standard,74,124.34,9201.16,12,19,13.80905795,2,0.591709177,0.73525528,1,Desktop,Phone,Silver,TRUE,NO,No,Movies,Friend,Email,Technical,Loyalty,N,iOS,Tier-1,SUMMER,Current
62,35,TRUE,low,Central,Masters,M2M,Crypto,Standard,3,137.19,411.57,53,12,55.78324772,11,-0.42626522,0.894669146,1,Tablet,App,Bronze,No,No,Yes,Movies,Search,Phone,Technical,Bundle,Unknown,iOS,Tier-1,SUMMER,30+
63,21,F,low,North,High School,One year,Crypto,Standard,110,170.36,18739.6,79,19,6.917007186,2,0.127742144,0.484757504,0,Desktop,Phone,Bronze,No,No,No,Movies,Friend,Email,Billing,Loyalty,Unknown,Android,Tier-2,FLASH,30+
64,42,Female,HIGH,Central,Bachelors,Two year,Credit Card,STANDARD,85,64.42,5475.7,8,0,62.25514581,7,-0.220074882,0.312845834,0,Mobile,APP,Platinum,Yes,No,Yes,Movies,Email,Phone,Technical,Loyalty,Y,iOS,Tier-1,SUMMER,Current
65,77,Male,low,Central,High School,3-Year,Mailed Check,Ultra,57,198.52,11315.64,40,12,49.78573146,3,-0.236019195,0.869754657,0,Mobile,App,Silver,No,yes,Yes,Security,Email,Chat,Outage,Intro,Yes,Android,Tier-3,SUMMER,Current
66,49,Male,Low,West,Bachelors,M2M,Credit Card,Basic,21,43.55,4913.795,11,2,8.323922092,12,0.186920323,0.203607658,0,Mobile,App,Bronze,Yes,No,No,Gamer,Friend,Email,Billing,Loyalty,N,Other,Tier-1,SUMMER,Current
67,67,TRUE,HIGH,Central,Diploma,M2M,Bank Transfer,STANDARD,95,192.83,18318.85,52,15,55.80364242,5,-0.899334348,0.716432959,0,Desktop,App,Gold,Yes,Yes,Yes,Gamer,Email,Phone,Billing,Loyalty,Y,iOS,Tier-3,SUMMER,Current
68,75,0,Very High,East,Diploma,M2M,cash,Ultra,31,78.28,2426.68,55,2,14.5202543,2,0.818009484,0.853928498,0,Desktop,Phone,Silver,0,No,No,WorkFromHome,Social,Email,Technical,Loyalty,No,Android,Tier-2,SUMMER,Current
69,26,Female,Medium,South,Diploma,Two year,Crypto,STANDARD,19,36.73,697.87,36,17,30.40994971,9,0.769746039,0.269388702,0,SmartTV,Web,Platinum,No,No,Yes,Sports,Affiliate,Phone,Technical,Loyalty,Y,Windows,Tier-3,SUMMER,Current
70,43,Male,HIGH,North,Masters,Two year,Bank Transfer,Basic,54,165.14,8917.56,66,12,0.840237611,12,0.367408606,0.887464615,1,Mobile,Web,Diamond,0,NO,Yes,Music,Friend,App,Billing,Intro,Y,Android,Tier-1,SUMMER,60+
71,70,1,Medium,South,Diploma,M2M,Electronic Check,Basic,108,105.165,15766.92,32,16,40.42059515,11,0.699907353,0.580406371,0,Desktop,Web,Gold,Yes,No,No,Kids,Email,Phone,Technical,Loyalty,No,Android,Tier-2,SPRING,Current
72,49,F,Medium,South,High School,M2M,Credit Card,Standard,12,117.27,1407.24,54,19,33.35828553,8,-0.748162285,0.174310785,0,Desktop,Phone,Silver,Yes,No, ,Movies,Friend,Email,Technical,Promo,Yes,iOS,Tier-1,WELCOME,Current
73,37,TRUE,Medium,North,Diploma,One year,Bank Transfer,Ultra,11,161.48,4913.795,55,11,36.70186568,3,-0.142556056,0.51891295,0,Mobile,Phone,Silver,0,No,No,Movies,Affiliate,Email,Billing,Intro,Y,iOS,Tier-1,SUMMER,Current
74,45,1,High,South,Masters,Month-to-month,Bank Transfer,Premium,18,67.78,1220.04,39,4,63.44565164,3,0.791907168,0.252275189,0,Desktop,Chat,Gold,Yes,no,No,Movies,Social,Phone,Technical,Loyalty,Yes,iOS,Tier-2,SUMMER,Current
75,64,1,Low,Central,PhD,One year,Bank Transfer,Premium,18,158.7,2856.6,91,14,8.454256438,5,-0.640402678,0.733909653,1,Mobile,App,Bronze,No,No,Yes,Movies,Email,Email,Billing,Intro,Yes,iOS,Tier-2,CYBER,30+
76,77,0,High,West,Diploma,Month-to-month,Credit Card,basic,84,106.31,4913.795,59,18,17.30463473,12,0.981661282,0.356383376,0,Desktop,App,Bronze,FALSE,No,No,Movies,Search,Phone,Retention,Bundle,No,iOS,Tier-2,SUMMER,30+
77,49,0,High,East,Diploma,One year,Bank Transfer,basic,109,146.59,15978.31,10,7,50.49141941,1,0.103375099,0.987706507,0,Desktop,App,Bronze,Yes,Yes,Yes,Kids,Search,Email,Service,Loyalty,Unknown,Android,Tier-2,WELCOME,Current
78,61,0,Medium,East,Diploma,Two year,Mailed Check,Ultra,26,129.7,3372.2,45,5,17.22134805,10,-0.891656757,0.537228465,0,Tablet,App,Silver,0,Yes,No,Security,Search,Email,Billing,Loyalty,N,Linux,Tier-1,SUMMER,Current
79,78,1,low,Central,Diploma,Month-to-month,Crypto,basic,105,140.44,14746.2,37,9,2.427533835,6,-0.759576291,0.996790148,1,Mobile,Chat,Silver,No,no,No,Movies,Radio,Chat,Technical,Loyalty,Y,Windows,Tier-3,SUMMER,Current
80,25,M,Low,West,PhD,One year,Electronic Check,Ultra,24,26.34,632.16,66,15,61.9639808,3,-0.819784591,0.018865442,0,Mobile,Phone,Silver,No,YES,Yes,Movies,Search,Chat,Technical,Loyalty,N,Android,Tier-3,SUMMER,Current
81,64,FALSE,Very High,West,Bachelors,Month-to-month,Mailed Check,basic,11,145.42,1599.62,2,1,15.77529782,4,0.50684554,0.454548966,0,Mobile,App,Bronze,No,No,No,Movies,Social,Email,Billing,Loyalty,N,macOS,Tier-1,FLASH,Current
82,52,M,HIGH,South,Bachelors,Month-to-month,Electronic Check,Premium,5,29.83,149.15,99,6,60.7679536,3,-0.929927188,0.439095478,0,Tablet,App,Silver,TRUE,yes,No,Movies,Friend,Community,Technical,Loyalty,Y,iOS,Tier-1,SUMMER,30+
83,31,1,High,East,High School,M2M,cash,Basic,45,31.26,1406.7,39,6,14.53691167,3,0.424565477,0.861027217,0,Mobile,App,Bronze,Yes,no,Yes,Kids,Search,Social,Technical,Loyalty,N,Android,Tier-1,VIP,Current
84,34,F,HIGH,East,Bachelors,One year,Electronic Check,Standard,65,72.26,4696.9,6,8,19.47282398,1,0.030270337,0.892115823,0,Desktop,Chat,Gold,TRUE,No,No,Sports,Unknown,Chat,Technical,Intro,Yes,macOS,Tier-1,SUMMER,Current
85,53,TRUE,HIGH,East,Bachelors,M2M,Electronic Check,Premium,103,56.91,5861.73,26,13,36.56508225,5,0.990095739,0.319491077,0,Mobile,Web,Bronze,No,No,No,WorkFromHome,Unknown,Email,Other,Loyalty,1,iOS,Tier-1,SPRING,Current
86,67,1,Low,North,High School,Two year,Credit Card,Basic,72,177.21,12759.12,58,17,30.12766643,5,-0.822192684,0.00853243,1,Tablet,Web,Gold,No,NO,No,Movies,Friend,App,Technical,Student,No,Android,Tier-1,SUMMER,60+
87,49,TRUE,low,East,PhD,One year,Bank Transfer,Standard,19,101.18,1922.42,78,17,6.492747567,9,0.594931877,0.498959231,1,Console,In-Store,Bronze,1,No, ,Movies,Friend,Community,Technical,Bundle,Y,Android,Tier-3,VIP,90+
88,21,1,HIGH,North,Diploma,M2M,Mailed Check,Premium,33,24.38,804.54,46,6,51.25676434,13,0.143637945,0.369000595,0,Mobile,Web,Bronze,N,Yes,No,Movies,Email,Email,Technical,Promo,Yes,macOS,Tier-2,SUMMER,Current
89,19,0,High,Central,Diploma,One year,Credit Card,STANDARD,49,105.165,4913.795,63,16,49.90544292,14,0.88182996,0.005063779,1,SmartTV,App,Gold,Yes,No,Yes,Music,Email,Email,Technical,Loyalty,N,iOS,Tier-1,SUMMER,60+
90,79,TRUE,HIGH,North,Diploma,Month-to-month,Crypto,Standard,18,116.12,2090.16,65,17,42.76439605,2,0.002506968,0.717700167,1,Mobile,web,Bronze,Yes,No,Yes,Movies,Friend,Chat,Technical,Promo,No,iOS,Tier-4,SPRING,30+
91,23,0,Low,North,Diploma,3-Year,cash,Standard,26,63.64,1654.64,36,14,42.58778648,9,-0.799192564,0.66526714,1,Tablet,Web,Bronze,No,Yes,Yes,Movies,Affiliate,Community,Technical,Loyalty,No,macOS,Tier-2,SUMMER,30+
92,71,0,low,West,Diploma,Month-to-month,Mailed Check,Ultra,48,78.99,3791.52,57,3,2.767326321,3,0.508497071,0.324983228,0,Tablet,App,Gold,Y,NO,Yes,Movies,Email,Email,Technical,Bundle,Y,iOS,Tier-1,SUMMER,Current
93,59,FALSE,HIGH,South,PhD,Month-to-month,Crypto,Ultra,46,179.29,8247.34,14,12,17.33193721,1,-0.285012418,0.267056759,0,Desktop,App,Gold,No,NO,No,Sports,Search,Phone,Billing,Loyalty,No,Android,Tier-1,SUMMER,Current
94,21,FALSE,low,West,Bachelors,Two year,Bank Transfer,basic,30,105.165,1133.7,50,1,40.50192536,1,-0.289999194,0.007857977,0,Mobile,In-Store,Bronze,FALSE,No,No,Movies,Unknown,Chat,Technical,Loyalty,Y,Android,Tier-1,SUMMER,Current
95,71,M,low,East,PhD,Two year,cash,basic,51,105.165,1603.95,4,8,22.6006999,14,-0.808063615,0.009306169,0,Mobile,Chat,Bronze,Yes,Yes,Yes,WorkFromHome,Affiliate,Chat,Technical,Loyalty,N,Android,Tier-2,BLACKFRIDAY,Current
96,46,1,Medium,West,High School,Two year,paypal,Ultra,16,81.59,1305.44,16,0,70.4897177,2,0.077313358,0.331983012,0,Mobile,APP,Bronze,Yes,No, ,Movies,Search,Phone,Technical,Loyalty,Yes,Android,Tier-1,SUMMER,60+
97,35,F,low,South,Masters,M2M,paypal,Ultra,65,26.84,4913.795,0,11,25.54959167,14,0.720464695,0.523442845,1,Mobile,App,Diamond,0,Yes,No,Movies,Friend,Chat,Technical,Loyalty,N,iOS,Tier-3,SUMMER,Current
98,43,F,HIGH,North,Bachelors,Month-to-month,Credit Card,Standard,38,177.05,6727.9,6,18,31.6964024,6,0.26897611,0.092298465,0,SmartTV,App,Diamond,Yes,Yes,Yes,Sports,Affiliate,Email,Service,Loyalty,Y,Linux,Tier-1,SUMMER,Current
99,61,0,HIGH,North,Diploma,3-Year,Crypto,Premium,46,105.165,5831.42,46,12,12.37604567,3,0.615565003,0.852170379,0,Mobile,Chat,Silver,No,YES,No,Movies,Search,Phone,Technical,Loyalty,N,iOS,Tier-3,VIP,Current
100,51,0,low,Central,Masters,M2M,Mailed Check,Basic,10,52.7,527,54,5,42.75209461,11,0.353185063,0.324688787,1,Mobile,App,Silver,Yes,Yes,No,Music,Event,Email,Billing,Loyalty,0,iOS,Tier-1,FLASH,60+
101,27,1,Low,Central,Bachelors,One year,cash,STANDARD,56,54.65,3060.4,33,13,12.17462933,7,-0.593681763,0.049627783,1,Desktop,Phone,Gold,No,No,No,Security,Friend,Chat,Technical,Loyalty,N,iOS,Tier-1,SUMMER,Current
