CustomerID,Age,Gender,IncomeTier,Region,Education,ContractLength,PaymentMethod,PlanType,TenureMonths,MonthlyCharges,TotalCharges,LoginsLastMonth,TicketsOpened,TicketsResolutionTime,RFMScore,UsageChangePct,CompetitorIndex,Churn,DeviceType,ChannelPreferred,CustomerSegment,AutoPay,Paperless,FamilyPlan,AddOnBundle,ReferralSource,SupportChannelPreferred,ComplaintCategory,DiscountType,ContractAutoRenew,DeviceOS,CityTier,PromoCodeUsed,PaymentDelinquencyStatus
27,55.0,Male,high,Central,bachelors,Every month,Credit Card,basic,7.0,53.15,372.05,84.0,9,21.93285059,1,-0.643208033,0.212609049,0,desktop,in-store,bronze,no,no,no,movies,search,email,technical,intro,no,android,tier-3,vip,current
28,19.0,Male,low,North,masters,3 years,Bank Transfer,standard,90.0,92.72,8344.8,76.0,16,19.51153538,5,0.992974145,0.328288593,0,tablet,app,bronze,yes,no,unknown,security,friend,phone,billing,loyalty,no,android,tier-1,vip,current
29,77.0,Male,high,South,bachelors,1 year,paypal,basic,0.0,38.1,4913.795,3.0,4,58.18388396,5,-0.44278912,0.730951996,0,smarttv,chat,silver,yes,no,no,movies,tv,phone,outage,loyalty,yes,ios,tier-4,vip,current
30,38.0,Female,low,South,bachelors,2 years,Electronic Check,premium,29.0,32.54,943.66,7.0,8,63.63796671,10,-0.557203319,0.210690857,0,desktop,web,platinum,no,no,unknown,sports,social,app,technical,loyalty,no,ios,tier-1,spring,current
31,50.0,Female,very high,West,diploma,Every month,Electronic Check,standard,91.0,81.63,7428.33,85.0,3,42.10880692,13,-0.590674339,0.883570318,0,smarttv,app,platinum,no,no,no,gamer,email,phone,technical,promo,yes,android,tier-1,summer,30+
32,29.0,Female,low,West,phd,Every month,Mailed Check,basic,33.0,26.48,873.84,38.0,10,67.41120028,6,-0.579352617,0.020413209,1,smarttv,web,bronze,yes,yes,no,movies,friend,chat,technical,promo,no,windows,tier-1,summer,current
33,75.0,Male,medium,Central,high school,3 years,Electronic Check,basic,60.0,181.37,10882.2,81.0,1,19.14944012,3,-0.443801896,0.901059242,0,mobile,in-store,gold,no,yes,yes,movies,social,app,technical,loyalty,yes,android,tier-2,summer,current
34,39.0,Male,high,Central,diploma,Every month,Crypto,basic,12.0,19.04,4913.795,98.0,1,62.90072717,8,-0.814974282,0.993595376,1,smarttv,app,gold,yes,no,unknown,workfromhome,affiliate,phone,technical,loyalty,no,windows,tier-2,summer,30+
35,78.0,Male,low,Central,masters,2 years,Electronic Check,basic,65.0,196.36,12763.4,94.0,6,57.73562556,10,0.321619792,0.515342451,1,tablet,app,bronze,no,yes,no,movies,friend,chat,technical,loyalty,yes,windows,tier-2,summer,60+
36,61.0,Male,low,North,masters,Every month,paypal,standard,108.0,166.48,17979.84,12.0,14,24.69390961,6,-0.526319162,0.128486469,0,mobile,app,bronze,yes,no,no,movies,social,app,service,loyalty,unknown,linux,tier-2,summer,current
37,42.0,Male,low,North,phd,3 years,Crypto,premium,25.0,154.19,3854.75,48.0,3,27.74671291,13,0.628215833,0.320037049,0,tablet,in-store,silver,yes,yes,yes,movies,friend,email,service,employee,no,android,tier-1,summer,current
38,66.0,Male,low,West,diploma,Every month,Bank Transfer,standard,49.0,93.18,4565.82,151.5,14,13.31636064,8,-0.827036267,0.054879915,0,smarttv,chat,silver,no,yes,yes,kids,friend,phone,technical,intro,yes,ios,tier-1,summer,current
39,44.0,Male,low,Central,phd,1 year,Mailed Check,standard,5.0,152.09,760.45,60.0,6,8.90236187,2,0.026949757,0.924596794,0,mobile,in-store,platinum,yes,yes,yes,international,tv,phone,technical,intro,yes,windows,tier-3,summer,current
40,76.0,Female,high,Central,diploma,3 years,paypal,premium,2.0,195.13,390.26,34.0,16,4.598786367,9,0.089263836,0.650472962,1,desktop,app,platinum,yes,yes,no,workfromhome,social,email,retention,loyalty,no,ios,tier-3,summer,30+
41,59.0,Female,medium,West,masters,Every month,Crypto,basic,48.0,154.0,7392.0,76.0,12,26.42046475,2,-0.24364071,0.787117701,0,mobile,app,silver,no,no,yes,movies,social,phone,technical,loyalty,no,linux,tier-2,summer,current
42,49.0,Female,low,North,high school,Every month,cash,basic,14.0,92.44,1294.16,58.0,19,33.14334285,6,-0.600548085,0.737559303,1,desktop,app,silver,no,yes,no,movies,email,email,service,loyalty,no,windows,tier-3,newyear,60+
43,77.0,Female,high,North,masters,Every month,Crypto,standard,44.0,108.33,4766.52,48.0,12,61.24139035,4,0.023970923,0.917479504,1,mobile,app,bronze,no,no,no,movies,affiliate,chat,technical,loyalty,yes,android,tier-1,summer,30+
44,33.0,Female,low,West,high school,1 year,Mailed Check,basic,20.0,74.06,1481.2,67.0,2,37.70029135,5,0.537591373,0.151995901,1,tablet,phone,silver,no,no,yes,movies,social,phone,technical,promo,yes,android,tier-2,summer,current
45,32.0,Male,medium,South,diploma,2 years,Crypto,ultra,49.0,59.63,2921.87,92.0,12,37.08100096,4,-0.068246602,0.793057465,0,mobile,app,gold,no,no,yes,movies,social,email,technical,promo,no,ios,tier-2,summer,current
46,79.0,Male,low,East,bachelors,Every month,paypal,standard,22.0,158.24,3481.28,95.0,0,9.740717303,12,-0.848749659,0.021187815,1,mobile,app,bronze,yes,yes,yes,movies,unknown,phone,technical,loyalty,no,android,tier-1,summer,30+
47,79.0,Male,low,East,diploma,2 years,paypal,basic,47.0,29.08,1366.76,23.0,1,69.42112771,5,0.337917202,0.402812024,0,mobile,web,gold,no,no,unknown,movies,unknown,chat,technical,bundle,no,ios,tier-3,summer,current
48,49.0,Male,low,West,masters,Every month,Mailed Check,premium,28.0,56.32,1576.96,70.0,1,21.32785046,7,0.678764515,0.06667083,0,mobile,app,silver,yes,yes,no,movies,event,phone,service,loyalty,yes,android,tier-1,summer,current
49,79.0,Male,low,South,bachelors,1 year,Mailed Check,standard,54.0,115.08,6214.32,41.0,9,46.85872875,10,-0.460939491,0.026700446,0,desktop,phone,bronze,yes,no,unknown,movies,affiliate,email,technical,loyalty,no,ios,tier-1,cyber,current
50,68.0,Male,low,West,bachelors,Every month,cash,standard,93.0,89.35,8309.55,43.0,16,38.46924095,12,-0.43712515,0.018994802,0,desktop,web,bronze,no,no,yes,movies,event,chat,technical,intro,no,android,tier-3,summer,current
51,61.0,Female,high,Central,masters,2 years,paypal,standard,116.0,115.49,13396.84,72.0,17,9.917638401,10,0.694397525,0.931897359,1,mobile,in-store,bronze,no,no,yes,international,email,email,billing,loyalty,no,ios,tier-1,vip,120+
52,72.0,Female,medium,South,high school,3 years,Bank Transfer,ultra,47.0,119.72,5626.84,14.0,13,52.0059573,4,0.57589063,0.235200497,0,mobile,web,bronze,no,yes,yes,gamer,affiliate,phone,technical,loyalty,yes,windows,tier-1,summer,current
53,69.0,Male,low,Central,masters,Every month,Crypto,standard,88.0,76.87,6764.56,22.0,14,35.75746108,14,-0.685863533,0.922559147,0,mobile,app,silver,yes,no,no,movies,email,phone,technical,student,no,ios,tier-3,cyber,current
54,74.0,Male,medium,West,diploma,Every month,Electronic Check,standard,44.0,151.02,6644.88,62.0,8,57.36732478,8,-0.154677835,0.582236088,0,mobile,app,bronze,no,yes,no,music,billboard,email,technical,loyalty,yes,ios,tier-2,summer,current
55,20.0,Male,low,North,bachelors,3 years,Bank Transfer,standard,76.0,119.62,4913.795,99.0,13,28.53190231,2,-0.02687639,0.419355111,1,desktop,app,silver,no,yes,no,kids,unknown,email,service,loyalty,yes,android,tier-1,spring,current
56,54.0,Male,low,Central,high school,1 year,Bank Transfer,standard,18.0,152.54,2745.72,34.0,18,55.3781442,4,0.886230065,0.381881405,0,mobile,app,bronze,no,no,no,music,search,phone,technical,loyalty,no,android,tier-2,summer,current
57,68.0,Male,very high,North,masters,1 year,Crypto,standard,1.0,152.33,4913.795,50.0,18,9.863415522,4,0.863190434,0.604993616,0,tablet,web,silver,no,yes,yes,movies,friend,phone,technical,promo,yes,linux,tier-2,spring,current
58,24.0,Female,high,North,diploma,2 years,Credit Card,standard,97.0,105.165,14321.08,63.0,8,56.50521747,7,-0.292084975,0.333092662,0,desktop,web,bronze,no,no,yes,security,social,phone,technical,loyalty,yes,android,tier-4,summer,current
59,38.0,Female,high,West,high school,Every month,Mailed Check,standard,29.0,117.55,3408.95,47.0,14,67.13945765,5,-0.847554272,0.937272687,1,mobile,app,silver,yes,no,yes,movies,search,community,technical,bundle,yes,ios,tier-1,newyear,120+
60,26.0,Female,very high,West,diploma,Every month,Crypto,ultra,98.0,105.165,6308.26,93.0,2,35.39495403,6,-0.165418942,0.317191721,0,mobile,web,silver,no,no,yes,music,billboard,email,technical,bundle,yes,ios,tier-3,summer,current
61,56.0,Female,very high,East,high school,2 years,Credit Card,standard,74.0,124.34,9201.16,12.0,19,13.80905795,2,0.591709177,0.73525528,1,desktop,phone,silver,yes,no,no,movies,friend,email,technical,loyalty,no,ios,tier-1,summer,current
62,35.0,Male,low,Central,masters,Every month,Crypto,standard,3.0,137.19,411.57,53.0,12,55.78324772,11,-0.42626522,0.894669146,1,tablet,app,bronze,no,no,yes,movies,search,phone,technical,bundle,unknown,ios,tier-1,summer,30+
63,21.0,Female,low,North,high school,1 year,Crypto,standard,110.0,170.36,18739.6,79.0,19,6.917007186,2,0.127742144,0.484757504,0,desktop,phone,bronze,no,no,no,movies,friend,email,billing,loyalty,unknown,android,tier-2,flash,30+
64,42.0,Female,high,Central,bachelors,2 years,Credit Card,standard,85.0,64.42,5475.7,8.0,0,62.25514581,7,-0.220074882,0.312845834,0,mobile,app,platinum,yes,no,yes,movies,email,phone,technical,loyalty,yes,ios,tier-1,summer,current
65,77.0,Male,low,Central,high school,3 years,Mailed Check,ultra,57.0,198.52,11315.64,40.0,12,49.78573146,3,-0.236019195,0.869754657,0,mobile,app,silver,no,yes,yes,security,email,chat,outage,intro,yes,android,tier-3,summer,current
66,49.0,Male,low,West,bachelors,Every month,Credit Card,basic,21.0,43.55,4913.795,11.0,2,8.323922092,12,0.186920323,0.203607658,0,mobile,app,bronze,yes,no,no,gamer,friend,email,billing,loyalty,no,other,tier-1,summer,current
67,67.0,Male,high,Central,diploma,Every month,Bank Transfer,standard,95.0,192.83,18318.85,52.0,15,55.80364242,5,-0.899334348,0.716432959,0,desktop,app,gold,yes,yes,yes,gamer,email,phone,billing,loyalty,yes,ios,tier-3,summer,current
68,75.0,Male,very high,East,diploma,Every month,cash,ultra,31.0,78.28,2426.68,55.0,2,14.5202543,2,0.818009484,0.853928498,0,desktop,phone,silver,yes,no,no,workfromhome,social,email,technical,loyalty,no,android,tier-2,summer,current
69,26.0,Female,medium,South,diploma,2 years,Crypto,standard,19.0,36.73,697.87,36.0,17,30.40994971,9,0.769746039,0.269388702,0,smarttv,web,platinum,no,no,yes,sports,affiliate,phone,technical,loyalty,yes,windows,tier-3,summer,current
70,43.0,Male,high,North,masters,2 years,Bank Transfer,basic,54.0,165.14,8917.56,66.0,12,0.840237611,12,0.367408606,0.887464615,1,mobile,web,diamond,yes,no,yes,music,friend,app,billing,intro,yes,android,tier-1,summer,60+
71,70.0,Female,medium,South,diploma,Every month,Electronic Check,basic,108.0,105.165,15766.92,32.0,16,40.42059515,11,0.699907353,0.580406371,0,desktop,web,gold,yes,no,no,kids,email,phone,technical,loyalty,no,android,tier-2,spring,current
72,49.0,Female,medium,South,high school,Every month,Credit Card,standard,12.0,117.27,1407.24,54.0,19,33.35828553,8,-0.748162285,0.174310785,0,desktop,phone,silver,yes,no,unknown,movies,friend,email,technical,promo,yes,ios,tier-1,welcome,current
73,37.0,Male,medium,North,diploma,1 year,Bank Transfer,ultra,11.0,161.48,4913.795,55.0,11,36.70186568,3,-0.142556056,0.51891295,0,mobile,phone,silver,yes,no,no,movies,affiliate,email,billing,intro,yes,ios,tier-1,summer,current
74,45.0,Female,high,South,masters,Every month,Bank Transfer,premium,18.0,67.78,1220.04,39.0,4,63.44565164,3,0.791907168,0.252275189,0,desktop,chat,gold,yes,no,no,movies,social,phone,technical,loyalty,yes,ios,tier-2,summer,current
75,64.0,Female,low,Central,phd,1 year,Bank Transfer,premium,18.0,158.7,2856.6,91.0,14,8.454256438,5,-0.640402678,0.733909653,1,mobile,app,bronze,no,no,yes,movies,email,email,billing,intro,yes,ios,tier-2,cyber,30+
76,77.0,Male,high,West,diploma,Every month,Credit Card,basic,84.0,106.31,4913.795,59.0,18,17.30463473,12,0.981661282,0.356383376,0,desktop,app,bronze,no,no,no,movies,search,phone,retention,bundle,no,ios,tier-2,summer,30+
77,49.0,Male,high,East,diploma,1 year,Bank Transfer,basic,109.0,146.59,15978.31,10.0,7,50.49141941,1,0.103375099,0.987706507,0,desktop,app,bronze,yes,yes,yes,kids,search,email,service,loyalty,unknown,android,tier-2,welcome,current
78,61.0,Male,medium,East,diploma,2 years,Mailed Check,ultra,26.0,129.7,3372.2,45.0,5,17.22134805,10,-0.891656757,0.537228465,0,tablet,app,silver,yes,yes,no,security,search,email,billing,loyalty,no,linux,tier-1,summer,current
79,78.0,Female,low,Central,diploma,Every month,Crypto,basic,105.0,140.44,14746.2,37.0,9,2.427533835,6,-0.759576291,0.996790148,1,mobile,chat,silver,no,no,no,movies,radio,chat,technical,loyalty,yes,windows,tier-3,summer,current
80,25.0,Male,low,West,phd,1 year,Electronic Check,ultra,24.0,26.34,632.16,66.0,15,61.9639808,3,-0.819784591,0.018865442,0,mobile,phone,silver,no,yes,yes,movies,search,chat,technical,loyalty,no,android,tier-3,summer,current
81,64.0,Female,very high,West,bachelors,Every month,Mailed Check,basic,11.0,145.42,1599.62,2.0,1,15.77529782,4,0.50684554,0.454548966,0,mobile,app,bronze,no,no,no,movies,social,email,billing,loyalty,no,macos,tier-1,flash,current
82,52.0,Male,high,South,bachelors,Every month,Electronic Check,premium,5.0,29.83,149.15,99.0,6,60.7679536,3,-0.929927188,0.439095478,0,tablet,app,silver,yes,yes,no,movies,friend,community,technical,loyalty,yes,ios,tier-1,summer,30+
83,31.0,Female,high,East,high school,Every month,cash,basic,45.0,31.26,1406.7,39.0,6,14.53691167,3,0.424565477,0.861027217,0,mobile,app,bronze,yes,no,yes,kids,search,social,technical,loyalty,no,android,tier-1,vip,current
84,34.0,Female,high,East,bachelors,1 year,Electronic Check,standard,65.0,72.26,4696.9,6.0,8,19.47282398,1,0.030270337,0.892115823,0,desktop,chat,gold,yes,no,no,sports,unknown,chat,technical,intro,yes,macos,tier-1,summer,current
85,53.0,Male,high,East,bachelors,Every month,Electronic Check,premium,103.0,56.91,5861.73,26.0,13,36.56508225,5,0.990095739,0.319491077,0,mobile,web,bronze,no,no,no,workfromhome,unknown,email,other,loyalty,no,ios,tier-1,spring,current
86,67.0,Female,low,North,high school,2 years,Credit Card,basic,72.0,177.21,12759.12,58.0,17,30.12766643,5,-0.822192684,0.00853243,1,tablet,web,gold,no,no,no,movies,friend,app,technical,student,no,android,tier-1,summer,60+
87,49.0,Male,low,East,phd,1 year,Bank Transfer,standard,19.0,101.18,1922.42,78.0,17,6.492747567,9,0.594931877,0.498959231,1,console,in-store,bronze,no,no,unknown,movies,friend,community,technical,bundle,yes,android,tier-3,vip,90+
88,21.0,Female,high,North,diploma,Every month,Mailed Check,premium,33.0,24.38,804.54,46.0,6,51.25676434,13,0.143637945,0.369000595,0,mobile,web,bronze,no,yes,no,movies,email,email,technical,promo,yes,macos,tier-2,summer,current
89,19.0,Male,high,Central,diploma,1 year,Credit Card,standard,49.0,105.165,4913.795,63.0,16,49.90544292,14,0.88182996,0.005063779,1,smarttv,app,gold,yes,no,yes,music,email,email,technical,loyalty,no,ios,tier-1,summer,60+
90,79.0,Male,high,North,diploma,Every month,Crypto,standard,18.0,116.12,2090.16,65.0,17,42.76439605,2,0.002506968,0.717700167,1,mobile,web,bronze,yes,no,yes,movies,friend,chat,technical,promo,no,ios,tier-4,spring,30+
91,23.0,Male,low,North,diploma,3 years,cash,standard,26.0,63.64,1654.64,36.0,14,42.58778648,9,-0.799192564,0.66526714,1,tablet,web,bronze,no,yes,yes,movies,affiliate,community,technical,loyalty,no,macos,tier-2,summer,30+
92,71.0,Male,low,West,diploma,Every month,Mailed Check,ultra,48.0,78.99,3791.52,57.0,3,2.767326321,3,0.508497071,0.324983228,0,tablet,app,gold,yes,no,yes,movies,email,email,technical,bundle,yes,ios,tier-1,summer,current
93,59.0,Female,high,South,phd,Every month,Crypto,ultra,46.0,179.29,8247.34,14.0,12,17.33193721,1,-0.285012418,0.267056759,0,desktop,app,gold,no,no,no,sports,search,phone,billing,loyalty,no,android,tier-1,summer,current
94,21.0,Female,low,West,bachelors,2 years,Bank Transfer,basic,30.0,105.165,1133.7,50.0,1,40.50192536,1,-0.289999194,0.007857977,0,mobile,in-store,bronze,no,no,no,movies,unknown,chat,technical,loyalty,yes,android,tier-1,summer,current
95,71.0,Male,low,East,phd,2 years,cash,basic,51.0,105.165,1603.95,4.0,8,22.6006999,14,-0.808063615,0.009306169,0,mobile,chat,bronze,yes,yes,yes,workfromhome,affiliate,chat,technical,loyalty,no,android,tier-2,blackfriday,current
96,46.0,Female,medium,West,high school,2 years,paypal,ultra,16.0,81.59,1305.44,16.0,0,70.4897177,2,0.077313358,0.331983012,0,mobile,app,bronze,yes,no,unknown,movies,search,phone,technical,loyalty,yes,android,tier-1,summer,60+
97,35.0,Female,low,South,masters,Every month,paypal,ultra,65.0,26.84,4913.795,0.0,11,25.54959167,14,0.720464695,0.523442845,1,mobile,app,diamond,yes,yes,no,movies,friend,chat,technical,loyalty,no,ios,tier-3,summer,current
98,43.0,Female,high,North,bachelors,Every month,Credit Card,standard,38.0,177.05,6727.9,6.0,18,31.6964024,6,0.26897611,0.092298465,0,smarttv,app,diamond,yes,yes,yes,sports,affiliate,email,service,loyalty,yes,linux,tier-1,summer,current
99,61.0,Male,high,North,diploma,3 years,Crypto,premium,46.0,105.165,5831.42,46.0,12,12.37604567,3,0.615565003,0.852170379,0,mobile,chat,silver,no,yes,no,movies,search,phone,technical,loyalty,no,ios,tier-3,vip,current
100,51.0,Male,low,Central,masters,Every month,Mailed Check,basic,10.0,52.7,527.0,54.0,5,42.75209461,11,0.353185063,0.324688787,1,mobile,app,silver,yes,yes,no,music,event,email,billing,loyalty,yes,ios,tier-1,flash,60+
101,27.0,Female,low,Central,bachelors,1 year,cash,standard,56.0,54.65,3060.4,33.0,13,12.17462933,7,-0.593681763,0.049627783,1,desktop,phone,gold,no,no,no,security,friend,chat,technical,loyalty,no,ios,tier-1,summer,current
102,49.0,Female,low,South,bachelors,1 year,Credit Card,standard,72.0,38.72,2787.84,41.0,3,18.81503469,9,-0.818417483,0.553495538,0,mobile,web,silver,yes,no,no,sports,email,email,technical,promo,no,ios,tier-3,summer,current
103,53.0,Female,high,South,masters,3 years,paypal,standard,30.0,136.43,4092.9,52.0,15,69.65971524,11,-0.7980615,0.244441543,0,smarttv,app,bronze,no,yes,no,movies,tv,email,technical,loyalty,yes,android,tier-1,summer,current
104,49.0,Female,high,West,diploma,2 years,paypal,standard,51.0,146.75,4913.795,0.0,11,57.18677475,9,0.653797507,0.858165591,0,mobile,web,silver,no,no,yes,gamer,social,phone,technical,loyalty,yes,android,tier-1,summer,current
105,48.0,Female,very high,South,diploma,3 years,Bank Transfer,basic,20.0,42.09,841.8,79.0,7,24.81336559,9,0.23123176,0.085252094,0,mobile,web,silver,yes,no,yes,movies,search,phone,billing,loyalty,no,ios,tier-1,summer,current
106,49.0,Male,low,West,diploma,Every month,paypal,standard,52.0,94.3,4903.6,98.0,15,19.96770143,8,-0.510876748,0.081386843,0,desktop,web,platinum,yes,no,yes,movies,affiliate,phone,retention,loyalty,yes,ios,tier-3,summer,current
107,49.0,Male,low,Central,phd,3 years,Bank Transfer,standard,21.0,185.6,3897.6,14.0,4,66.90862463,9,0.622170199,0.295876684,0,smarttv,phone,bronze,no,yes,yes,movies,friend,app,technical,loyalty,no,android,tier-2,summer,current
108,25.0,Female,high,West,phd,Every month,paypal,basic,109.0,16.18,1763.62,54.0,2,71.7574697,11,0.293820708,0.835306954,0,mobile,app,silver,yes,no,yes,movies,radio,email,outage,loyalty,no,linux,tier-2,welcome,current
109,31.0,Male,medium,West,phd,2 years,Electronic Check,premium,69.0,40.5,2794.5,15.0,5,60.51785807,5,0.305794436,0.530688297,0,desktop,phone,platinum,yes,yes,no,international,email,phone,technical,bundle,yes,android,tier-2,summer,60+
110,40.0,Male,medium,Central,phd,1 year,Mailed Check,premium,90.0,64.74,5826.6,46.0,14,18.48614815,11,-0.407294471,0.911339838,0,mobile,app,gold,yes,yes,no,kids,social,phone,technical,bundle,yes,ios,tier-2,summer,current
111,77.0,Male,low,East,masters,1 year,Crypto,standard,26.0,105.165,618.8,81.0,11,26.55040077,9,-0.837795959,0.645755964,0,tablet,phone,silver,yes,yes,yes,movies,affiliate,social,technical,bundle,yes,android,tier-1,summer,current
